name,price,discounted_price,promo,penjual,lokasi_penjual,rating,unit_terjual,url
Longdimm VenomRX DDR4 4GB / 8GB 3200 Mhz Memory RAM PC Venom RX,Rp250.000,,,Starcomp Solo,Kab. Sleman,5.0,30+ terjual,https://www.tokopedia.com/starcompsolo/longdimm-venomrx-ddr4-4gb-8gb-3200-mhz-memory-ram-pc-venom-rx-8gb-bf8b8?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch%26whid%3D19300519
RAM DDR4 SODimm V-GeN Platinum 8GB PC17000/2133Mhz Memory Laptop VGEN,Rp427.500,,,Intact Official Store,Jakarta Pusat,5.0,500+ terjual,https://www.tokopedia.com/intact-official/ram-ddr4-sodimm-v-gen-platinum-8gb-pc17000-2133mhz-memory-laptop-vgen?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR4 V-GeN Platinum 16GB PC21300/2666Mhz LongDimm (Memory PC VGEN),Rp766.000,,,Intact Official Store,Jakarta Pusat,5.0,250+ terjual,https://www.tokopedia.com/intact-official/ram-ddr4-v-gen-platinum-16gb-pc21300-2666mhz-longdimm-memory-pc-vgen?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
"Team Elite SODIMM DDR4 8GB 3200MHz - PC25600, RAM Memory Laptop",Rp370.000,,,Starcomp Solo,Kab. Sleman,5.0,9 terjual,https://www.tokopedia.com/starcompsolo/team-elite-sodimm-ddr4-8gb-3200mhz-pc25600-ram-memory-laptop?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch%26whid%3D19300521
RAM SODimm DDR3/DDR3L V-GeN Rescue 8GB PC12800/1600Mhz Memory Laptop VGEN,Rp206.000,,,Intact Official Store,Jakarta Pusat,5.0,1rb+ terjual,https://www.tokopedia.com/intact-official/ram-sodimm-ddr3-ddr3l-v-gen-rescue-8gb-pc12800-1600mhz-memory-laptop-vgen-1729598276097837186?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR3 SODimm V-GeN Platinum 8GB PC10600/1333Mhz Memory Laptop VGEN,Rp226.000,,,Intact Official Store,Jakarta Pusat,5.0,250+ terjual,https://www.tokopedia.com/intact-official/ram-ddr3-sodimm-v-gen-platinum-8gb-pc10600-1333mhz-memory-laptop-vgen-standart-9e2bb?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
V-GeN 4GB DDR3 1600Mhz SODIMM RAM Laptop VGen RESCUE,Rp135.000,,,Starcomp Purwokerto,Kab. Banyumas,5.0,1 terjual,https://www.tokopedia.com/starcomppurwokerto/v-gen-4gb-ddr3-1600mhz-sodimm-ram-laptop-vgen-rescue?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR4 V-GeN RESCUE 4GB PC25600/3200Mhz LongDimm - Memory PC VGEN,Rp231.000,,,Intact Official Store,Jakarta Pusat,5.0,100+ terjual,https://www.tokopedia.com/intact-official/ram-ddr4-v-gen-rescue-4gb-pc25600-3200mhz-longdimm-memory-pc-vgen?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR3 V-GeN Rescue 8GB PC12800/1600Mhz LongDimm Memory PC VGEN,Rp206.000,,,Intact Official Store,Jakarta Pusat,5.0,3rb+ terjual,https://www.tokopedia.com/intact-official/ram-ddr3-v-gen-rescue-8gb-pc12800-1600mhz-longdimm-memory-pc-vgen-1729598558520445058?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
"Xiaomi Redmi 14C RAM 6/128GB dan RAM 8/256GB, Smartphone Android 14 dengan Layar IPS LCD 6.88 inci, Kamera Dual 50 MP, Baterai 5160 mAh, Garansi Resmi UFO Official Store",Rp1.858.000,,,UFO Elektronika Malang Sutoyo,Malang,5.0,5 terjual,https://www.tokopedia.com/ufomalang/xiaomi-redmi-14c-ram-6-128gb-dan-ram-8-256gb-smartphone-android-14-dengan-layar-ips-lcd-6-88-inci-kamera-dual-50-mp-baterai-5160-mah-garansi-resmi-ufo-official-store-1730338864893887857?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
